model,paper_id,mode,status,outcome,attempt,delivered,figures,text_characters,panel_outcomes,planning_reduced,drawing_defects,request_count,request_failures,providers,reported_cost_usd,observed_seconds,checks_passed,checks_total,failed_checks,error
gemini-3.8-flash,2106.09685v2,overview,ready,ready,1,yes,1,15,"{""created"": [""p1""], ""repaired"": [""p2"", ""p3""], ""simplified"": [""p4""]}",yes,"{""p4"": [""Unsupported attribute on text: space.""]}",12,0,Google,0.433582,300.4,17,19,"no_drawing_defects,no_planning_reduction",
gemini-3.8-flash,2106.09685v2,blog,failed,failed,1,no,,,{},no,{},7,0,Google,0.280408,300.3,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",SVG text must be 16–80px. Use fewer labels instead of shrinking text. It did not improve after two corrections.
gemini-3.8-flash,2312.00752v2,overview,ready,ready,1,yes,1,15,"{""created"": [""scaling_and_benchmarks""], ""repaired"": [""selection_mechanism"", ""selective_scan_fusion"", ""mamba_block_architecture""], ""simplified"": []}",no,{},11,0,Google,0.453783,90.1,19,19,,
gemini-3.8-flash,2312.00752v2,blog,failed,failed,1,no,,,{},no,{},15,1,Google,0.704254,60.1,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider request failed with HTTP status 400.
gemini-3.8-flash,2107.07511v6,blog,failed,failed,1,no,,,{},no,{},11,0,Google,0.35175,90.1,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",Unsupported figure tag: {http://www.w3.org/2000/svg}svg It did not improve after two corrections.
gemini-3.8-flash,2107.07511v6,overview,ready,ready,1,yes,1,15,"{""created"": [""heuristic_to_score"", ""adjusted_quantile"", ""prediction_sets"", ""exchangeability_proof""], ""repaired"": [], ""simplified"": [""coverage_limitations""]}",no,"{""coverage_limitations"": [""Outside the panel canvas: The guarantee holds marginally over calibration and test sampling,but does not g"", ""Small text in the panel canvas (13.0 units; minimum 14): Entire population. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): marginal coverage. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): Majority subpopulation (Group A). Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): coverage on Group A. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): Minority subpopulation (Group B). Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): coverage on Group B. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): Learned ranking separates true from false. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): small, informative set. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): Marginal coverage holds: \u2265 1 - \u03b1. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (12.0 units; minimum 14): High efficiency (tight prediction set). Raise its source font size from 12 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): Pure random noise; no ranking signal. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): trivially large. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (13.0 units; minimum 14): Marginal coverage still holds: \u2265 1 - \u03b1. Raise its source font size from 13 to at least 14 units, or use fewer labels."", ""Small text in the panel canvas (12.0 units; minimum 14): Zero practical utility (includes all classes). Raise its source font size from 12 to at least 14 units, or use fewer labels."", ""Label is 797 units wide but its container /svg/rect[10] is 537 units wide. It escapes by 57.3px: The guarantee holds marginally over calibration and test sampling,but does not guarantee conditional coverage P(Y_test \u2208 C(X_test) | X_test) \u2265 1 - \u03b1 for individual instances or subpopulations.. Widen the container by about 260 units, shorten the label, or wrap it into tspan lines that each fit.""]}",10,0,Google,0.309302,15.1,17,19,"no_drawing_defects,visible_numbers_traceable",
gemini-3.8-flash,2009.03300v3,overview,ready,ready,1,yes,1,15,"{""created"": [""calibration_normative_limits""], ""repaired"": [""benchmark_scope""], ""simplified"": [""model_scaling"", ""domain_procedural_disparity""]}",no,"{""model_scaling"": [""SVG must be well-formed XML: not well-formed (invalid token): line 1, column 11""], ""domain_procedural_disparity"": [""stroke uses an unsupported color.""]}",11,0,Google,0.406595,255.3,18,19,no_drawing_defects,
gemini-3.8-flash,2009.03300v3,blog,failed,failed,1,no,,,{},no,{},4,1,Google,0.052587,135.2,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider did not finish its response (error). The provider stopped generation; try a narrower request or another model.
gemini-3.8-flash,1602.03837v1,overview,ready,ready,1,yes,1,15,"{""created"": [""p2_generic_search"", ""p3_matched_filter_search""], ""repaired"": [""p1_detection"", ""p4_source_parameters""], ""simplified"": []}",no,{},10,0,Google,0.343768,240.3,19,19,,
gemini-3.8-flash,1602.03837v1,blog,failed,failed,1,no,,,{},no,{},9,0,Google,0.461565,645.6,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",Unsupported attributes on g: font-family It did not improve after two corrections.
gpt-luna,2106.09685v2,overview,ready,ready,1,yes,1,15,"{""created"": [""p4""], ""repaired"": [""p1"", ""p2""], ""simplified"": [""p3""]}",yes,"{""p3"": [""Label is 527 units wide but its container /svg/rect[8] is 588 units wide. It escapes by 4.0px: \n    The rank study also finds that r = 1 with Wq and Wv reaches 73.4 WikiSQL accuracy\n    and 91.3 MultiNLI accuracy, indicating that very low-rank updates can suffice.\n  . Widen the container by about -61 units, shorten the label, or wrap it into tspan lines that each fit.""]}",12,0,OpenAI,0.059976,180.2,17,19,"no_drawing_defects,no_planning_reduction",
gpt-luna,2106.09685v2,blog,failed,failed,1,no,,,{},no,{},14,0,OpenAI,0.100147,345.3,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections","The example shows x entering W₀ and BA and then writes W₀x + BAx, but it never explains the low-rank composition itself: first compute Ax in the rank-r space, then compute B(Ax), and add that result t"
gpt-luna,2312.00752v2,overview,ready,ready,1,yes,1,15,"{""created"": [""p1"", ""p2"", ""p4""], ""repaired"": [], ""simplified"": [""p3""]}",yes,"{""p3"": [""Label is 96 units wide but its container /svg/rect[11] is 134 units wide. It escapes by 30.0px: 59.7 average. Widen the container by about -38 units, shorten the label, or wrap it into tspan lines that each fit.""]}",10,0,OpenAI,0.053945,150.2,17,19,"no_drawing_defects,no_planning_reduction",
gpt-luna,2312.00752v2,blog,failed,failed,1,no,,,{},no,{},8,0,OpenAI,0.048334,120.2,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",Place each figure marker exactly once and omit unknown markers. It did not improve after two corrections.
gpt-luna,2107.07511v6,blog,failed,failed,2,no,,,{},no,{},27,0,OpenAI,0.209763,135.2,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",“Larger sets stabilize it” is incorrect or at least misleading. The paper says larger calibration sets stabilize the realized coverage and reduce fluctuations; it does not say that larger prediction s
gpt-luna,2107.07511v6,overview,ready,ready,1,yes,1,15,"{""created"": [""p1"", ""p2"", ""p3""], ""repaired"": [""p4""], ""simplified"": []}",yes,{},10,0,OpenAI,0.044786,150.2,18,19,no_planning_reduction,
gpt-luna,2009.03300v3,overview,ready,ready,1,yes,1,15,"{""created"": [""p1""], ""repaired"": [""p2"", ""p3"", ""p4""], ""simplified"": []}",yes,{},12,0,OpenAI,0.054531,90.1,18,19,no_planning_reduction,
gpt-luna,2009.03300v3,blog,failed,failed,1,no,,,{},no,{},14,0,OpenAI,0.103018,300.3,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections","The labels beneath the bars visibly collide: “GPT-3” and “UnifiedQA” run together as “GPT-3UnifiedQA.” A newcomer may not know which bar each label identifies. Add spacing, rotate or wrap the labels, "
gpt-luna,1602.03837v1,overview,ready,ready,1,yes,1,15,"{""created"": [""p3"", ""p4""], ""repaired"": [""p1"", ""p2""], ""simplified"": []}",yes,{},11,0,OpenAI,0.05924,300.4,18,19,no_planning_reduction,
gpt-luna,1602.03837v1,blog,failed,failed,1,no,,,{},no,{},9,0,OpenAI,0.07097,285.3,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",Error while generating output: Author returned prose without a tool call. Draft retained; no automatic retry.
gpt-terra,2106.09685v2,overview,ready,ready,1,yes,1,15,"{""created"": [""p1"", ""p2"", ""p3"", ""p4""], ""repaired"": [], ""simplified"": []}",yes,{},9,0,OpenAI,0.389065,135.2,18,19,no_planning_reduction,
gpt-terra,2106.09685v2,blog,failed,failed,1,no,,,{},no,{},8,0,OpenAI,0.462335,180.2,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider request failed or returned an invalid response. Check connectivity and provider settings.
gpt-terra,2312.00752v2,overview,ready,ready,2,yes,1,15,"{""created"": [""p1""], ""repaired"": [""p2"", ""p3""], ""simplified"": [""p4""]}",yes,"{""p4"": [""Label is 85 units wide but its container /svg/rect[13] is 73 units wide. It escapes by 11.4px: missing. Widen the container by about 12 units, shorten the label, or wrap it into tspan lines that each fit.""]}",12,0,OpenAI,0.502446,45.1,17,19,"no_drawing_defects,no_planning_reduction",
gpt-terra,2312.00752v2,blog,failed,failed,1,no,,,{},no,{},6,0,OpenAI,0.295039,45.1,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider request failed or returned an invalid response. Check connectivity and provider settings.
gpt-terra,2107.07511v6,blog,failed,failed,1,no,,,{},no,{},6,0,OpenAI,0.379175,120.2,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider request failed or returned an invalid response. Check connectivity and provider settings.
gpt-terra,2107.07511v6,overview,ready,ready,1,yes,1,15,"{""created"": [""p1"", ""p2"", ""p3""], ""repaired"": [], ""simplified"": [""p4""]}",yes,"{""p4"": [""Outside the panel canvas: The guarantee is marginal coverage, not conditional coverage for every input or ""]}",10,0,OpenAI,0.385389,0.1,17,19,"no_drawing_defects,no_planning_reduction",
gpt-terra,2009.03300v3,overview,ready,ready,1,yes,1,15,"{""created"": [""p2"", ""p3""], ""repaired"": [""p1""], ""simplified"": [""p4""]}",yes,"{""p4"": [""Label is 576 units wide but its container /svg/rect[6] is 733 units wide. It escapes by 7.8px: Scores require conditional interpretation: GPT-3 is evaluated via zero/few-shot prompting, whereas UnifiedQA was previously fine-tuned on other QA datasets and is measured for transfer without further tuning. Human-level accuracy also varies by task; the reported approximately 89.8% expert level is an estimate partly based on educated guesses where data are unavailable.. Widen the container by about -156 units, shorten the label, or wrap it into tspan lines that each fit.""]}",11,0,OpenAI,0.406581,135.1,17,19,"no_drawing_defects,no_planning_reduction",
gpt-terra,2009.03300v3,blog,failed,failed,1,no,,,{},no,{},6,0,OpenAI,0.365201,105.1,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider request failed or returned an invalid response. Check connectivity and provider settings.
gpt-terra,1602.03837v1,overview,ready,ready,1,yes,1,15,"{""created"": [""p4""], ""repaired"": [""p1"", ""p2"", ""p3""], ""simplified"": []}",yes,{},12,0,OpenAI,0.501463,45.1,18,19,no_planning_reduction,
gpt-terra,1602.03837v1,blog,failed,failed,1,no,,,{},no,{},7,0,OpenAI,0.35114,150.2,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",Error while generating output: Author returned prose without a tool call. Draft retained; no automatic retry.
